"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","UNEMP","TOT","PC_LF","A","1975",4.925,
"AUS","UNEMP","TOT","PC_LF","A","1976",4.75,
"AUS","UNEMP","TOT","PC_LF","A","1977",5.65,"B"
"AUS","UNEMP","TOT","PC_LF","A","1978",6.442533,
"AUS","UNEMP","TOT","PC_LF","A","1979",6.265499,
"AUS","UNEMP","TOT","PC_LF","A","1980",6.106246,
"AUS","UNEMP","TOT","PC_LF","A","1981",5.783571,
"AUS","UNEMP","TOT","PC_LF","A","1982",7.156132,
"AUS","UNEMP","TOT","PC_LF","A","1983",9.961594,
"AUS","UNEMP","TOT","PC_LF","A","1984",8.98968,
"AUS","UNEMP","TOT","PC_LF","A","1985",8.262986,
"AUS","UNEMP","TOT","PC_LF","A","1986",8.081038,
"AUS","UNEMP","TOT","PC_LF","A","1987",8.10804,
"AUS","UNEMP","TOT","PC_LF","A","1988",7.227954,
"AUS","UNEMP","TOT","PC_LF","A","1989",6.179825,
"AUS","UNEMP","TOT","PC_LF","A","1990",6.923,
"AUS","UNEMP","TOT","PC_LF","A","1991",9.576522,
"AUS","UNEMP","TOT","PC_LF","A","1992",10.72814,
"AUS","UNEMP","TOT","PC_LF","A","1993",10.87467,
"AUS","UNEMP","TOT","PC_LF","A","1994",9.72219,
"AUS","UNEMP","TOT","PC_LF","A","1995",8.472281,
"AUS","UNEMP","TOT","PC_LF","A","1996",8.506114,
"AUS","UNEMP","TOT","PC_LF","A","1997",8.362488,
"AUS","UNEMP","TOT","PC_LF","A","1998",7.677429,
"AUS","UNEMP","TOT","PC_LF","A","1999",6.873791,
"AUS","UNEMP","TOT","PC_LF","A","2000",6.285546,
"AUS","UNEMP","TOT","PC_LF","A","2001",6.742173,
"AUS","UNEMP","TOT","PC_LF","A","2002",6.368911,
"AUS","UNEMP","TOT","PC_LF","A","2003",5.92842,
"AUS","UNEMP","TOT","PC_LF","A","2004",5.396734,
"AUS","UNEMP","TOT","PC_LF","A","2005",5.033881,
"AUS","UNEMP","TOT","PC_LF","A","2006",4.78524,
"AUS","UNEMP","TOT","PC_LF","A","2007",4.379151,
"AUS","UNEMP","TOT","PC_LF","A","2008",4.23433,
"AUS","UNEMP","TOT","PC_LF","A","2009",5.560385,
"AUS","UNEMP","TOT","PC_LF","A","2010",5.21334,
"AUS","UNEMP","TOT","PC_LF","A","2011",5.081195,
"AUS","UNEMP","TOT","PC_LF","A","2012",5.223376,
"AUS","UNEMP","TOT","PC_LF","A","2013",5.66194,
"AUS","UNEMP","TOT","PC_LF","A","2014",6.077244,
"AUS","UNEMP","TOT","PC_LF","A","2015",6.056423,
"AUS","UNEMP","TOT","PC_LF","A","2016",5.710301,
"AUS","UNEMP","TOT","PC_LF","A","2017",5.59376,
"AUS","UNEMP","TOT","PC_LF","A","2018",5.299829,
"AUS","UNEMP","TOT","PC_LF","A","2019",5.16392,
"AUS","UNEMP","WOMEN","PC_LF","A","1979",8.192168,
"AUS","UNEMP","WOMEN","PC_LF","A","1980",7.86692,
"AUS","UNEMP","WOMEN","PC_LF","A","1981",7.43352,
"AUS","UNEMP","WOMEN","PC_LF","A","1982",8.518765,
"AUS","UNEMP","WOMEN","PC_LF","A","1983",10.36995,
"AUS","UNEMP","WOMEN","PC_LF","A","1984",9.483179,
"AUS","UNEMP","WOMEN","PC_LF","A","1985",8.769008,
"AUS","UNEMP","WOMEN","PC_LF","A","1986",8.710496,
"AUS","UNEMP","WOMEN","PC_LF","A","1987",8.626371,
"AUS","UNEMP","WOMEN","PC_LF","A","1988",7.902781,
"AUS","UNEMP","WOMEN","PC_LF","A","1989",6.850511,
"AUS","UNEMP","WOMEN","PC_LF","A","1990",7.190954,
"AUS","UNEMP","WOMEN","PC_LF","A","1991",9.144935,
"AUS","UNEMP","WOMEN","PC_LF","A","1992",9.927213,
"AUS","UNEMP","WOMEN","PC_LF","A","1993",9.996856,
"AUS","UNEMP","WOMEN","PC_LF","A","1994",9.367094,
"AUS","UNEMP","WOMEN","PC_LF","A","1995",8.112302,
"AUS","UNEMP","WOMEN","PC_LF","A","1996",8.235561,
"AUS","UNEMP","WOMEN","PC_LF","A","1997",8.072286,
"AUS","UNEMP","WOMEN","PC_LF","A","1998",7.332494,
"AUS","UNEMP","WOMEN","PC_LF","A","1999",6.66173,
"AUS","UNEMP","WOMEN","PC_LF","A","2000",6.067721,
"AUS","UNEMP","WOMEN","PC_LF","A","2001",6.444006,
"AUS","UNEMP","WOMEN","PC_LF","A","2002",6.164438,
"AUS","UNEMP","WOMEN","PC_LF","A","2003",5.977485,
"AUS","UNEMP","WOMEN","PC_LF","A","2004",5.539613,
"AUS","UNEMP","WOMEN","PC_LF","A","2005",5.22245,
"AUS","UNEMP","WOMEN","PC_LF","A","2006",4.92522,
"AUS","UNEMP","WOMEN","PC_LF","A","2007",4.787311,
"AUS","UNEMP","WOMEN","PC_LF","A","2008",4.571883,
"AUS","UNEMP","WOMEN","PC_LF","A","2009",5.399816,
"AUS","UNEMP","WOMEN","PC_LF","A","2010",5.377285,
"AUS","UNEMP","WOMEN","PC_LF","A","2011",5.304792,
"AUS","UNEMP","WOMEN","PC_LF","A","2012",5.325491,
"AUS","UNEMP","WOMEN","PC_LF","A","2013",5.609225,
"AUS","UNEMP","WOMEN","PC_LF","A","2014",6.17203,
"AUS","UNEMP","WOMEN","PC_LF","A","2015",6.076174,
"AUS","UNEMP","WOMEN","PC_LF","A","2016",5.779326,
"AUS","UNEMP","WOMEN","PC_LF","A","2017",5.671979,
"AUS","UNEMP","WOMEN","PC_LF","A","2018",5.320178,
"AUS","UNEMP","WOMEN","PC_LF","A","2019",5.112483,
"AUT","UNEMP","MEN","PC_LF","A","1969",1.692205,
"AUT","UNEMP","MEN","PC_LF","A","1970",1.101281,
"AUT","UNEMP","MEN","PC_LF","A","1971",0.8722495,
"AUT","UNEMP","MEN","PC_LF","A","1972",0.675388,
"AUT","UNEMP","MEN","PC_LF","A","1973",0.6699486,
"AUT","UNEMP","MEN","PC_LF","A","1974",0.9519485,"B"
"AUT","UNEMP","MEN","PC_LF","A","1975",1.399362,
"AUT","UNEMP","MEN","PC_LF","A","1976",1.410021,
"AUT","UNEMP","MEN","PC_LF","A","1977",1.245386,
"AUT","UNEMP","MEN","PC_LF","A","1978",1.594003,
"AUT","UNEMP","MEN","PC_LF","A","1979",1.486594,
"AUT","UNEMP","MEN","PC_LF","A","1980",1.253027,
"AUT","UNEMP","MEN","PC_LF","A","1981",1.845914,
"AUT","UNEMP","MEN","PC_LF","A","1982",2.740076,
"AUT","UNEMP","MEN","PC_LF","A","1983",3.48546,
"AUT","UNEMP","MEN","PC_LF","A","1984",3.942207,
"AUT","UNEMP","MEN","PC_LF","A","1985",3.618229,
"AUT","UNEMP","MEN","PC_LF","A","1986",3.161508,
"AUT","UNEMP","MEN","PC_LF","A","1987",3.60757,
"AUT","UNEMP","MEN","PC_LF","A","1988",3.271843,
"AUT","UNEMP","MEN","PC_LF","A","1989",2.82684,
"AUT","UNEMP","MEN","PC_LF","A","1990",3.003671,
"AUT","UNEMP","MEN","PC_LF","A","1991",3.351475,
"AUT","UNEMP","MEN","PC_LF","A","1992",3.45536,
"AUT","UNEMP","MEN","PC_LF","A","1993",4.031792,"B"
"AUT","UNEMP","MEN","PC_LF","A","1994",3.268539,
"AUT","UNEMP","MEN","PC_LF","A","1995",3.216692,
"AUT","UNEMP","MEN","PC_LF","A","1996",3.891014,
"AUT","UNEMP","MEN","PC_LF","A","1997",3.938236,
"AUT","UNEMP","MEN","PC_LF","A","1998",3.975019,
"AUT","UNEMP","MEN","PC_LF","A","1999",3.649139,
"AUT","UNEMP","MEN","PC_LF","A","2000",3.294462,
"AUT","UNEMP","MEN","PC_LF","A","2001",3.425509,
"AUT","UNEMP","MEN","PC_LF","A","2002",4.009116,
"AUT","UNEMP","MEN","PC_LF","A","2003",4.341918,"B"
"AUT","UNEMP","MEN","PC_LF","A","2004",5.145496,"B"
"AUT","UNEMP","MEN","PC_LF","A","2005",5.437939,
"AUT","UNEMP","MEN","PC_LF","A","2006",4.948683,"B"
"AUT","UNEMP","MEN","PC_LF","A","2007",4.489506,
"AUT","UNEMP","MEN","PC_LF","A","2008",3.890318,
"AUT","UNEMP","MEN","PC_LF","A","2009",5.484337,
"AUT","UNEMP","MEN","PC_LF","A","2010",4.989801,
"AUT","UNEMP","MEN","PC_LF","A","2011",4.55039,
"AUT","UNEMP","MEN","PC_LF","A","2012",4.929703,
"AUT","UNEMP","MEN","PC_LF","A","2013",5.373562,
"AUT","UNEMP","MEN","PC_LF","A","2014",5.830175,
"AUT","UNEMP","MEN","PC_LF","A","2015",6.087906,
"AUT","UNEMP","MEN","PC_LF","A","2016",6.42944,
"AUT","UNEMP","MEN","PC_LF","A","2017",5.914127,
"AUT","UNEMP","MEN","PC_LF","A","2018",5.024486,
"AUT","UNEMP","MEN","PC_LF","A","2019",4.610368,
"AUT","UNEMP","TOT","PC_LF","A","1969",2.038766,
"AUT","UNEMP","TOT","PC_LF","A","1970",1.412589,
"AUT","UNEMP","TOT","PC_LF","A","1971",1.238531,
"AUT","UNEMP","TOT","PC_LF","A","1972",1.164418,
"AUT","UNEMP","TOT","PC_LF","A","1973",1.084896,
"AUT","UNEMP","TOT","PC_LF","A","1974",1.345436,"B"
"AUT","UNEMP","TOT","PC_LF","A","1975",1.752424,
"AUT","UNEMP","TOT","PC_LF","A","1976",1.809018,
"AUT","UNEMP","TOT","PC_LF","A","1977",1.638162,
"AUT","UNEMP","TOT","PC_LF","A","1978",2.062655,
"AUT","UNEMP","TOT","PC_LF","A","1979",2.104195,
"AUT","UNEMP","TOT","PC_LF","A","1980",1.854277,
"AUT","UNEMP","TOT","PC_LF","A","1981",2.515609,
"AUT","UNEMP","TOT","PC_LF","A","1982",3.464959,
"AUT","UNEMP","TOT","PC_LF","A","1983",4.107561,
"AUT","UNEMP","TOT","PC_LF","A","1984",3.800045,
"AUT","UNEMP","TOT","PC_LF","A","1985",3.599384,
"AUT","UNEMP","TOT","PC_LF","A","1986",3.134631,
"AUT","UNEMP","TOT","PC_LF","A","1987",3.794924,
"AUT","UNEMP","TOT","PC_LF","A","1988",3.563734,
"AUT","UNEMP","TOT","PC_LF","A","1989",3.132628,
"AUT","UNEMP","TOT","PC_LF","A","1990",3.240462,
"AUT","UNEMP","TOT","PC_LF","A","1991",3.475676,
"AUT","UNEMP","TOT","PC_LF","A","1992",3.593146,
"AUT","UNEMP","TOT","PC_LF","A","1993",4.217466,"B"
"AUT","UNEMP","TOT","PC_LF","A","1994",3.577942,
"AUT","UNEMP","TOT","PC_LF","A","1995",3.699785,
"AUT","UNEMP","TOT","PC_LF","A","1996",4.139831,
"AUT","UNEMP","TOT","PC_LF","A","1997",4.242406,
"AUT","UNEMP","TOT","PC_LF","A","1998",4.235766,
"AUT","UNEMP","TOT","PC_LF","A","1999",3.727968,
"AUT","UNEMP","TOT","PC_LF","A","2000",3.533025,
"AUT","UNEMP","TOT","PC_LF","A","2001",3.59086,
"AUT","UNEMP","TOT","PC_LF","A","2002",3.951978,
"AUT","UNEMP","TOT","PC_LF","A","2003",4.286487,"B"
"AUT","UNEMP","TOT","PC_LF","A","2004",5.49025,"B"
"AUT","UNEMP","TOT","PC_LF","A","2005",5.628417,
"AUT","UNEMP","TOT","PC_LF","A","2006",5.246718,"B"
"AUT","UNEMP","TOT","PC_LF","A","2007",4.858952,
"AUT","UNEMP","TOT","PC_LF","A","2008",4.129104,
"AUT","UNEMP","TOT","PC_LF","A","2009",5.298988,
"AUT","UNEMP","TOT","PC_LF","A","2010",4.82168,
"AUT","UNEMP","TOT","PC_LF","A","2011",4.566622,
"AUT","UNEMP","TOT","PC_LF","A","2012",4.863267,
"AUT","UNEMP","TOT","PC_LF","A","2013",5.336031,
"AUT","UNEMP","TOT","PC_LF","A","2014",5.621219,
"AUT","UNEMP","TOT","PC_LF","A","2015",5.723468,
"AUT","UNEMP","TOT","PC_LF","A","2016",6.014071,
"AUT","UNEMP","TOT","PC_LF","A","2017",5.500528,
"AUT","UNEMP","TOT","PC_LF","A","2018",4.848801,
"AUT","UNEMP","TOT","PC_LF","A","2019",4.487494,
"AUT","UNEMP","WOMEN","PC_LF","A","1969",2.584996,
"AUT","UNEMP","WOMEN","PC_LF","A","1970",1.899085,
"AUT","UNEMP","WOMEN","PC_LF","A","1971",1.81284,
"AUT","UNEMP","WOMEN","PC_LF","A","1972",1.934746,
"AUT","UNEMP","WOMEN","PC_LF","A","1973",1.742831,
"AUT","UNEMP","WOMEN","PC_LF","A","1974",1.965668,"B"
"AUT","UNEMP","WOMEN","PC_LF","A","1975",2.314268,
"AUT","UNEMP","WOMEN","PC_LF","A","1976",2.447781,
"AUT","UNEMP","WOMEN","PC_LF","A","1977",2.266128,
"AUT","UNEMP","WOMEN","PC_LF","A","1978",2.796681,
"AUT","UNEMP","WOMEN","PC_LF","A","1979",3.071545,
"AUT","UNEMP","WOMEN","PC_LF","A","1980",2.805987,
"AUT","UNEMP","WOMEN","PC_LF","A","1981",3.566627,
"AUT","UNEMP","WOMEN","PC_LF","A","1982",4.612952,
"AUT","UNEMP","WOMEN","PC_LF","A","1983",5.089895,
"AUT","UNEMP","WOMEN","PC_LF","A","1984",3.580633,
"AUT","UNEMP","WOMEN","PC_LF","A","1985",3.55089,
"AUT","UNEMP","WOMEN","PC_LF","A","1986",3.073845,
"AUT","UNEMP","WOMEN","PC_LF","A","1987",4.072209,
"AUT","UNEMP","WOMEN","PC_LF","A","1988",3.990662,
"AUT","UNEMP","WOMEN","PC_LF","A","1989",3.576861,
"AUT","UNEMP","WOMEN","PC_LF","A","1990",3.580896,
"AUT","UNEMP","WOMEN","PC_LF","A","1991",3.652509,
"AUT","UNEMP","WOMEN","PC_LF","A","1992",3.784925,
"AUT","UNEMP","WOMEN","PC_LF","A","1993",4.471555,"B"
"AUT","UNEMP","WOMEN","PC_LF","A","1994",3.96183,
"AUT","UNEMP","WOMEN","PC_LF","A","1995",4.346819,
"AUT","UNEMP","WOMEN","PC_LF","A","1996",4.474616,
"AUT","UNEMP","WOMEN","PC_LF","A","1997",4.647394,
"AUT","UNEMP","WOMEN","PC_LF","A","1998",4.582159,
"AUT","UNEMP","WOMEN","PC_LF","A","1999",3.829766,
"AUT","UNEMP","WOMEN","PC_LF","A","2000",3.841161,
"AUT","UNEMP","WOMEN","PC_LF","A","2001",3.801925,
"AUT","UNEMP","WOMEN","PC_LF","A","2002",3.883671,
"AUT","UNEMP","WOMEN","PC_LF","A","2003",4.217367,"B"
"AUT","UNEMP","WOMEN","PC_LF","A","2004",5.908219,"B"
"AUT","UNEMP","WOMEN","PC_LF","A","2005",5.85594,
"AUT","UNEMP","WOMEN","PC_LF","A","2006",5.602275,"B"
"AUT","UNEMP","WOMEN","PC_LF","A","2007",5.300053,
"AUT","UNEMP","WOMEN","PC_LF","A","2008",4.408709,
"AUT","UNEMP","WOMEN","PC_LF","A","2009",5.083597,
"AUT","UNEMP","WOMEN","PC_LF","A","2010",4.630231,
"AUT","UNEMP","WOMEN","PC_LF","A","2011",4.585085,
"AUT","UNEMP","WOMEN","PC_LF","A","2012",4.785623,
"AUT","UNEMP","WOMEN","PC_LF","A","2013",5.294112,
"AUT","UNEMP","WOMEN","PC_LF","A","2014",5.381805,
"AUT","UNEMP","WOMEN","PC_LF","A","2015",5.309809,
"AUT","UNEMP","WOMEN","PC_LF","A","2016",5.542861,
"AUT","UNEMP","WOMEN","PC_LF","A","2017",5.033657,
"AUT","UNEMP","WOMEN","PC_LF","A","2018",4.649181,
"AUT","UNEMP","WOMEN","PC_LF","A","2019",4.348755,
"BEL","UNEMP","MEN","PC_LF","A","1999",7.175152,
"BEL","UNEMP","MEN","PC_LF","A","2000",5.753848,"B"
"BEL","UNEMP","MEN","PC_LF","A","2001",5.937117,
"BEL","UNEMP","MEN","PC_LF","A","2002",6.665406,
"BEL","UNEMP","MEN","PC_LF","A","2003",7.647712,
"BEL","UNEMP","MEN","PC_LF","A","2004",7.497774,"B"
"BEL","UNEMP","MEN","PC_LF","A","2005",7.596472,
"BEL","UNEMP","MEN","PC_LF","A","2006",7.398829,
"BEL","UNEMP","MEN","PC_LF","A","2007",6.660986,
"BEL","UNEMP","MEN","PC_LF","A","2008",6.464678,
"BEL","UNEMP","MEN","PC_LF","A","2009",7.743461,
"BEL","UNEMP","MEN","PC_LF","A","2010",8.107247,"B"
"BEL","UNEMP","MEN","PC_LF","A","2011",7.107418,
"BEL","UNEMP","MEN","PC_LF","A","2012",7.648603,
"BEL","UNEMP","MEN","PC_LF","A","2013",8.641434,
"BEL","UNEMP","MEN","PC_LF","A","2014",9.019543,
"BEL","UNEMP","MEN","PC_LF","A","2015",9.093283,
"BEL","UNEMP","MEN","PC_LF","A","2016",8.061985,"B"
"BEL","UNEMP","MEN","PC_LF","A","2017",7.11471,
"BEL","UNEMP","MEN","PC_LF","A","2018",6.283442,
"BEL","UNEMP","MEN","PC_LF","A","2019",5.731449,
"BEL","UNEMP","TOT","PC_LF","A","1999",8.561709,
"BEL","UNEMP","TOT","PC_LF","A","2000",7.00965,"B"
"BEL","UNEMP","TOT","PC_LF","A","2001",6.607931,
"BEL","UNEMP","TOT","PC_LF","A","2002",7.511277,
"BEL","UNEMP","TOT","PC_LF","A","2003",8.172144,
"BEL","UNEMP","TOT","PC_LF","A","2004",8.387378,"B"
"BEL","UNEMP","TOT","PC_LF","A","2005",8.438975,
"BEL","UNEMP","TOT","PC_LF","A","2006",8.249064,
"BEL","UNEMP","TOT","PC_LF","A","2007",7.459264,
"BEL","UNEMP","TOT","PC_LF","A","2008",6.970808,
"BEL","UNEMP","TOT","PC_LF","A","2009",7.906314,
"BEL","UNEMP","TOT","PC_LF","A","2010",8.293048,"B"
"BEL","UNEMP","TOT","PC_LF","A","2011",7.139795,
"BEL","UNEMP","TOT","PC_LF","A","2012",7.537931,
"BEL","UNEMP","TOT","PC_LF","A","2013",8.425185,
"BEL","UNEMP","TOT","PC_LF","A","2014",8.52289,
"BEL","UNEMP","TOT","PC_LF","A","2015",8.481071,
"BEL","UNEMP","TOT","PC_LF","A","2016",7.833329,"B"
"BEL","UNEMP","TOT","PC_LF","A","2017",7.088736,
"BEL","UNEMP","TOT","PC_LF","A","2018",5.949855,
"BEL","UNEMP","TOT","PC_LF","A","2019",5.360503,
"BEL","UNEMP","WOMEN","PC_LF","A","1999",10.40464,
"BEL","UNEMP","WOMEN","PC_LF","A","2000",8.676103,"B"
"BEL","UNEMP","WOMEN","PC_LF","A","2001",7.512889,
"BEL","UNEMP","WOMEN","PC_LF","A","2002",8.628356,
"BEL","UNEMP","WOMEN","PC_LF","A","2003",8.855172,
"BEL","UNEMP","WOMEN","PC_LF","A","2004",9.537686,"B"
"BEL","UNEMP","WOMEN","PC_LF","A","2005",9.506623,
"BEL","UNEMP","WOMEN","PC_LF","A","2006",9.306876,
"BEL","UNEMP","WOMEN","PC_LF","A","2007",8.446923,
"BEL","UNEMP","WOMEN","PC_LF","A","2008",7.589956,
"BEL","UNEMP","WOMEN","PC_LF","A","2009",8.102662,
"BEL","UNEMP","WOMEN","PC_LF","A","2010",8.516085,"B"
"BEL","UNEMP","WOMEN","PC_LF","A","2011",7.177259,
"BEL","UNEMP","WOMEN","PC_LF","A","2012",7.406423,
"BEL","UNEMP","WOMEN","PC_LF","A","2013",8.16722,
"BEL","UNEMP","WOMEN","PC_LF","A","2014",7.940156,
"BEL","UNEMP","WOMEN","PC_LF","A","2015",7.766144,
"BEL","UNEMP","WOMEN","PC_LF","A","2016",7.567199,"B"
"BEL","UNEMP","WOMEN","PC_LF","A","2017",7.057503,
"BEL","UNEMP","WOMEN","PC_LF","A","2018",5.568045,
"BEL","UNEMP","WOMEN","PC_LF","A","2019",4.935084,
"CAN","UNEMP","MEN","PC_LF","A","1956",3.906101,
"CAN","UNEMP","MEN","PC_LF","A","1957",5.380157,
"CAN","UNEMP","MEN","PC_LF","A","1958",8.168284,
"CAN","UNEMP","MEN","PC_LF","A","1959",6.973096,
"CAN","UNEMP","MEN","PC_LF","A","1960",8.161501,
"CAN","UNEMP","MEN","PC_LF","A","1961",8.438575,
"CAN","UNEMP","MEN","PC_LF","A","1962",6.911934,
"CAN","UNEMP","MEN","PC_LF","A","1963",6.431633,
"CAN","UNEMP","MEN","PC_LF","A","1964",5.35506,
"CAN","UNEMP","MEN","PC_LF","A","1965",4.450027,
"CAN","UNEMP","MEN","PC_LF","A","1966",3.358566,
"CAN","UNEMP","MEN","PC_LF","A","1967",3.880153,
"CAN","UNEMP","MEN","PC_LF","A","1968",4.592989,
"CAN","UNEMP","MEN","PC_LF","A","1969",4.318053,
"CAN","UNEMP","MEN","PC_LF","A","1970",5.598998,
"CAN","UNEMP","MEN","PC_LF","A","1971",5.993722,
"CAN","UNEMP","MEN","PC_LF","A","1972",5.827902,
"CAN","UNEMP","MEN","PC_LF","A","1973",4.959249,
"CAN","UNEMP","MEN","PC_LF","A","1974",4.778851,
"CAN","UNEMP","MEN","PC_LF","A","1975",6.230985,"B"
"CAN","UNEMP","MEN","PC_LF","A","1976",6.433333,
"CAN","UNEMP","MEN","PC_LF","A","1977",7.391667,
"CAN","UNEMP","MEN","PC_LF","A","1978",7.658333,
"CAN","UNEMP","MEN","PC_LF","A","1979",6.791667,
"CAN","UNEMP","MEN","PC_LF","A","1980",7.025,
"CAN","UNEMP","MEN","PC_LF","A","1981",7.2,
"CAN","UNEMP","MEN","PC_LF","A","1982",11.24167,
"CAN","UNEMP","MEN","PC_LF","A","1983",12.375,
"CAN","UNEMP","MEN","PC_LF","A","1984",11.4,
"CAN","UNEMP","MEN","PC_LF","A","1985",10.65,
"CAN","UNEMP","MEN","PC_LF","A","1986",9.575,
"CAN","UNEMP","MEN","PC_LF","A","1987",8.55,
"CAN","UNEMP","MEN","PC_LF","A","1988",7.45,
"CAN","UNEMP","MEN","PC_LF","A","1989",7.391667,
"CAN","UNEMP","MEN","PC_LF","A","1990",8.175,
"CAN","UNEMP","MEN","PC_LF","A","1991",10.83333,
"CAN","UNEMP","MEN","PC_LF","A","1992",12.03333,
"CAN","UNEMP","MEN","PC_LF","A","1993",11.95833,
"CAN","UNEMP","MEN","PC_LF","A","1994",10.925,
"CAN","UNEMP","MEN","PC_LF","A","1995",9.8,
"CAN","UNEMP","MEN","PC_LF","A","1996",9.908334,
"CAN","UNEMP","MEN","PC_LF","A","1997",9.266666,
"CAN","UNEMP","MEN","PC_LF","A","1998",8.533334,
"CAN","UNEMP","MEN","PC_LF","A","1999",7.833333,
"CAN","UNEMP","MEN","PC_LF","A","2000",6.958333,
"CAN","UNEMP","MEN","PC_LF","A","2001",7.541667,
"CAN","UNEMP","MEN","PC_LF","A","2002",8.133333,
"CAN","UNEMP","MEN","PC_LF","A","2003",7.95,
"CAN","UNEMP","MEN","PC_LF","A","2004",7.475,
"CAN","UNEMP","MEN","PC_LF","A","2005",7.016667,
"CAN","UNEMP","MEN","PC_LF","A","2006",6.541667,
"CAN","UNEMP","MEN","PC_LF","A","2007",6.391667,
"CAN","UNEMP","MEN","PC_LF","A","2008",6.566667,
"CAN","UNEMP","MEN","PC_LF","A","2009",9.55,
"CAN","UNEMP","MEN","PC_LF","A","2010",8.8,
"CAN","UNEMP","MEN","PC_LF","A","2011",7.983333,
"CAN","UNEMP","MEN","PC_LF","A","2012",7.725,
"CAN","UNEMP","MEN","PC_LF","A","2013",7.516667,
"CAN","UNEMP","MEN","PC_LF","A","2014",7.408333,
"CAN","UNEMP","MEN","PC_LF","A","2015",7.475,
"CAN","UNEMP","MEN","PC_LF","A","2016",7.683333,
"CAN","UNEMP","MEN","PC_LF","A","2017",6.783333,
"CAN","UNEMP","MEN","PC_LF","A","2018",6.141667,
"CAN","UNEMP","MEN","PC_LF","A","2019",6.033333,
"CAN","UNEMP","TOT","PC_LF","A","1955",4.408333,
"CAN","UNEMP","TOT","PC_LF","A","1956",3.433333,
"CAN","UNEMP","TOT","PC_LF","A","1957",4.65,
"CAN","UNEMP","TOT","PC_LF","A","1958",7.066667,
"CAN","UNEMP","TOT","PC_LF","A","1959",5.991667,
"CAN","UNEMP","TOT","PC_LF","A","1960",6.991667,
"CAN","UNEMP","TOT","PC_LF","A","1961",7.183333,
"CAN","UNEMP","TOT","PC_LF","A","1962",5.958333,
"CAN","UNEMP","TOT","PC_LF","A","1963",5.583333,
"CAN","UNEMP","TOT","PC_LF","A","1964",4.708333,
